                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
v_subj(HC.hoarding).24            1.81819    0.548124     1.01624    1.42891    1.71778     2.09112     3.1719    0.0164756
v_subj(HC.hoarding).25            1.90961     1.43908    0.447738   0.705136    1.00405     3.11299    4.95693     0.115157
v_subj(HC.hoarding).26            1.44862    0.270018    0.965164    1.26959    1.43261     1.61225    2.00089    0.0055416
v_subj(HC.hoarding).27           0.857013     1.11368   -0.738818   0.113853   0.594316     1.41042    3.73532    0.0314844
v_subj(HC.hoarding).28            1.74181    0.692356    0.837511    1.25394    1.58839     2.05646    3.57389    0.0300061
v_subj(HC.hoarding).29            2.47814    0.302244     1.90268    2.27485    2.47668     2.67034    3.10838   0.00627586
v_subj(HC.hoarding).30            1.61053    0.435272    0.878909    1.30298    1.57168     1.87895    2.58248     0.010975
v_subj(HC.hoarding).31            2.58558    0.786577     1.36321    1.98879     2.4985     3.10696    4.25214     0.034551
v_subj(HC.hoarding).32            1.93462      1.1631    0.674163    1.01803    1.57992     2.54021    4.92524    0.0773579
v_subj(HC.hoarding).33            1.45451    0.200571     1.08496    1.32131    1.44572     1.58063    1.86357   0.00400869
v_subj(HC.hoarding).34          -0.753484    0.347817      -1.336  -0.928526  -0.748733   -0.578072  -0.213192   0.00709886
v_subj(HC.hoarding).35            1.39539    0.204742     1.01024    1.25641    1.38874     1.52576    1.82161   0.00365075
v_subj(HC.hoarding).36            3.95119    0.436726     3.16539     3.6435    3.93096     4.23633    4.85583    0.0128293
v_subj(HC.hoarding).37            1.93488    0.206943     1.53045    1.79294    1.92995     2.06841    2.35751   0.00545284
v_subj(HC.hoarding).38            2.58775    0.376701     1.99031     2.3192    2.53518      2.8051    3.44973    0.0123802
v_subj(HC.hoarding).39            1.79404     1.06195    0.652805    1.01983    1.45585     2.28166    4.61088    0.0601491
v_subj(HC.hoarding).40             1.4089     1.74812   -0.838745  0.0482632   0.986573     2.45407    5.58353    0.0544085
v_subj(HC.hoarding).41            6.57243    0.559492     5.51326     6.1816     6.5528     6.96045    7.71618    0.0243573
v_subj(HC.hoarding).42            3.71956     1.10531     1.88429    2.93873    3.58582     4.36962    6.20566    0.0430993
v_subj(HC.hoarding).43           0.611967    0.990244    -1.16356   0.106332   0.389562     1.01771    3.06555    0.0188532
v_subj(HC.hoarding).44            1.28636    0.661931    0.490106   0.791563     1.0917     1.66321    2.87949    0.0286616
v_subj(HC.hoarding).45            1.10845     2.08638    -2.41966  -0.113813   0.432347     2.52883    5.72017     0.113267
v_subj(HC.hoarding).46            3.54431    0.336845      2.9132    3.30852    3.53336     3.77809    4.21521    0.0103193
v_subj(HC.hoarding).47            6.34129    0.723112     5.03684    5.85815    6.28885     6.78011    7.87099    0.0247827
v_subj(HC.hoarding).48            2.29091    0.608505     1.39898     1.8877    2.19954     2.55887    3.80845    0.0220931
v_subj(HC.hoarding).49            2.09233    0.249393      1.6134     1.9219    2.09037     2.25809    2.59817   0.00554521
v_subj(HC.hoarding).50           0.769802    0.334264    0.422484   0.607685   0.716928    0.841078    1.49501    0.0142802
v_subj(HC.hoarding).51            3.88587    0.955547     2.25739    3.21234    3.81606     4.46488    5.96635    0.0387257
v_subj(HC.hoarding).52            2.25135    0.256876     1.78133    2.07632     2.2421     2.41452    2.79156   0.00746405
v_subj(HC.neutral).10             4.26229    0.307917     3.65233    4.06255    4.26066     4.46271     4.8741    0.0126545
v_subj(HC.neutral).12             7.69918    0.726397     6.31115    7.20231    7.66988     8.16684    9.25285     0.044804
v_subj(HC.neutral).13              5.5591    0.433211     4.75485    5.25908    5.54442     5.84421    6.44699    0.0197243
v_subj(HC.neutral).14             5.63393    0.462414       4.761    5.31817    5.62221     5.95409    6.54285    0.0236936
